"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Aalivirus apekidu",0,0,0
"Aarhusvirus mysterion",0,0,0
"Acadevirus PM116",0,0,0
"Acadianvirus acadian",0,0,0
"Acajnonavirus acj9",0,0,0
"Acanthamoeba castellanii medusavirus",0,0,0
"Acanvirus Rheph22",0,0,0
"Acanvirus Y26",0,0,0
"Acidianus tailed spindle virus",0,0,0
"Acionnavirus monteraybay",0,0,0
"Aedes camptorhynchus reo-like virus",0,0,0
"Afonbuvirus faecalis",0,0,0
"Afonbuvirus intestinihominis",0,0,0
"Agatevirus agate",0,0,0
"Agave tequilana leaf virus",0,0,0
"Agricanvirus deimos",0,0,0
"Agtrevirus P46FS4",0,0,0
"Ahtivirus sagseatwo",0,0,0
"Akihdevirus balticus",0,0,0
"Alachuavirus Xp15",0,0,0
"Alasvirus muscae",0,0,0
"Alces alces faeces associated microvirus MP12 5423",0,0,0
"Alcyoneusvirus RaK2",0,0,0
"Alexandravirus AD1",0,0,0
"Alexandravirus SNUABM1",0,0,0
"Alexandravirus SNUABM16",0,0,0
"Alexandravirus SNUABM17",0,0,0
"Alexandravirus SNUABM2",0,0,0
"Alexandravirus SNUABM22",0,0,0
"Alexandravirus SNUABM3",0,0,0
"Alexandravirus SNUABM30",0,0,0
"Alexandravirus SNUABM32",0,0,0
"Alexandravirus SNUABM33",0,0,0
"Alexandravirus SNUABM35",0,0,0
"Alexandravirus alexandra",2,2,1
"Alisovirus socal22",0,0,0
"Almendravirus almendras",0,0,0
"Almendravirus balsa",0,0,0
"Alphaarterivirus equid",0,0,0
"Alphabaculovirus adhonmai",0,0,0
"Alphabaculovirus agipsilonis",0,0,0
"Alphabaculovirus agsegetum",0,0,0
"Alphabaculovirus alteragsegetum",0,1,0
"Alphabaculovirus alterchofumiferanae",0,0,0
"Alphabaculovirus aucalifornicae",0,0,0
"Alphabaculovirus bomori",0,0,0
"Alphabaculovirus busuppressariae",0,0,0
"Alphabaculovirus capomonae",0,1,0
"Alphabaculovirus chofumiferanae",0,0,0
"Alphabaculovirus chomurinanae",0,0,0
"Alphabaculovirus chorosaceanae",0,0,0
"Alphabaculovirus chrincludentis",0,0,0
